,"-, clemscore","adventuregame, % Played","adventuregame, Quality Score","adventuregame, Quality Score (std)","all, Average % Played","all, Average Quality Score","codenames, % Played","codenames, Quality Score","codenames, Quality Score (std)","guesswhat, % Played","guesswhat, Quality Score","guesswhat, Quality Score (std)","imagegame, % Played","imagegame, Quality Score","imagegame, Quality Score (std)","matchit_ascii, % Played","matchit_ascii, Quality Score","matchit_ascii, Quality Score (std)","privateshared, % Played","privateshared, Quality Score","privateshared, Quality Score (std)","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","textmapworld, % Played","textmapworld, Quality Score","textmapworld, Quality Score (std)","textmapworld_graphreasoning, % Played","textmapworld_graphreasoning, Quality Score","textmapworld_graphreasoning, Quality Score (std)","textmapworld_specificroom, % Played","textmapworld_specificroom, Quality Score","textmapworld_specificroom, Quality Score (std)","wordle, % Played","wordle, Quality Score","wordle, Quality Score (std)","wordle_withclue, % Played","wordle_withclue, Quality Score","wordle_withclue, Quality Score (std)","wordle_withcritic, % Played","wordle_withcritic, Quality Score","wordle_withcritic, Quality Score (std)"
claude-3-7-sonnet-20250219-t0.0--claude-3-7-sonnet-20250219-t0.0,65.84,96.88,84.9,33.43,80.44,81.85,96.92,52.38,50.14,100.0,66.11,36.04,94.92,100.0,0.0,97.5,97.44,16.01,100.0,96.51,5.36,100.0,98.89,10.54,46.67,94.64,15.75,100.0,79.16,10.92,96.67,76.35,9.53,100.0,96.67,18.26,73.33,44.55,25.02,13.33,75.0,28.87,10.0,83.33,28.87
deepseek-r1-t0.0--deepseek-r1-t0.0,45.82,57.81,43.75,41.15,58.97,77.7,85.38,53.15,50.13,33.33,75.0,44.43,0.0,,,10.0,100.0,0.0,22.0,90.39,5.31,91.11,100.0,0.0,80.0,80.56,31.2,76.0,83.68,12.21,50.0,79.31,12.74,86.67,96.15,19.61,73.33,60.91,29.75,93.33,73.51,31.92,66.67,73.75,30.5
deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,34.79,62.5,54.17,42.86,56.63,61.44,50.77,39.39,49.24,0.0,,,0.0,,,92.5,83.78,37.37,30.0,38.44,17.85,100.0,88.89,31.6,85.0,28.1,44.91,92.0,73.14,12.94,53.33,63.58,14.31,93.33,100.0,0.0,26.67,35.0,44.08,63.33,78.95,33.72,43.33,53.85,41.47
deepseek-v3-t0.0--deepseek-v3-t0.0,53.26,87.5,64.84,39.97,84.72,62.87,86.92,38.94,48.98,81.67,61.9,47.14,0.0,,,100.0,82.5,38.48,100.0,30.97,31.97,100.0,91.11,28.62,90.0,48.46,49.13,100.0,76.35,12.48,96.67,63.74,15.04,100.0,100.0,0.0,100.0,25.67,34.21,73.33,60.61,41.0,70.0,72.22,38.85
gemini-2.0-flash-exp-t0.0--gemini-2.0-flash-exp-t0.0,47.84,67.97,50.52,44.66,75.05,63.75,96.15,39.2,49.02,100.0,35.56,40.18,49.15,98.76,4.76,32.5,84.62,37.55,100.0,54.93,34.45,100.0,82.22,38.45,98.33,76.27,32.19,0.0,,,100.0,71.96,14.51,76.67,100.0,0.0,80.0,14.58,24.49,83.33,50.8,45.54,66.67,69.33,39.15
gemma-2-9b-it-t0.0--gemma-2-9b-it-t0.0,1.03,89.06,27.86,33.14,7.43,13.93,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,15.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
gemma-3-27b-it-t0.0--gemma-3-27b-it-t0.0,35.22,55.75,22.12,35.53,70.77,49.76,62.31,29.63,45.95,100.0,34.44,31.27,0.0,,,60.0,83.33,38.07,76.0,66.37,34.59,100.0,56.67,49.83,100.0,47.78,43.88,100.0,66.47,10.14,76.67,64.66,10.99,76.67,100.0,0.0,93.33,14.64,23.33,53.33,35.42,42.98,36.67,25.3,31.77
gpt-4.1-2025-04-14-t0.0--gpt-4.1-2025-04-14-t0.0,60.42,93.75,80.47,33.6,83.14,72.67,86.92,43.36,49.78,86.67,63.46,39.75,0.0,,,100.0,82.5,38.48,100.0,81.58,24.18,100.0,90.0,30.17,100.0,84.72,25.36,100.0,82.59,12.99,53.33,73.92,12.65,100.0,100.0,0.0,80.0,19.17,18.86,90.0,66.36,38.43,73.33,76.52,33.5
gpt-4o-2024-08-06-t0.0--gpt-4o-2024-08-06-t0.0,60.45,94.53,71.61,36.96,86.07,70.23,93.85,48.36,50.18,91.67,72.12,36.72,0.0,,,100.0,85.0,36.16,100.0,87.25,10.12,100.0,88.89,31.6,98.33,75.99,33.8,100.0,72.45,12.88,56.67,66.6,13.37,93.33,100.0,0.0,93.33,25.0,30.97,93.33,61.43,39.16,90.0,58.27,41.19
llama-4-maverick-t0.0--llama-4-maverick-t0.0,40.6,63.28,58.07,41.88,66.99,60.61,51.54,29.85,46.11,88.33,52.2,43.12,0.0,,,97.5,64.1,48.6,94.0,68.97,26.27,45.56,78.05,41.91,98.33,63.56,42.04,96.0,65.47,13.39,80.0,55.68,13.77,93.33,100.0,0.0,46.67,7.14,15.41,33.33,82.0,30.11,50.0,62.78,34.05
llama-4-scout-t0.0--llama-4-scout-t0.0,28.63,63.28,48.7,41.39,57.16,50.08,23.08,36.67,49.01,98.33,37.29,34.51,6.78,51.5,44.64,82.5,72.73,45.23,100.0,54.94,24.04,20.0,61.11,50.16,98.33,53.95,45.84,88.0,67.14,9.59,66.67,54.84,12.54,80.0,87.5,33.78,43.33,5.38,14.5,20.0,33.33,38.01,10.0,36.11,12.73
mistral-large-2411-t0.0--mistral-large-2411-t0.0,40.53,55.47,53.91,40.58,64.63,62.71,92.31,40.0,49.2,90.0,47.53,44.68,76.27,88.49,15.45,87.5,68.57,47.1,6.0,79.63,8.02,100.0,70.0,46.08,83.33,65.33,38.37,24.0,70.75,16.57,96.67,61.04,12.97,83.33,100.0,0.0,63.33,11.05,25.14,30.0,66.67,40.83,16.67,55.0,44.72
o3-mini-2025-01-31-t0.0--o3-mini-2025-01-31-t0.0,68.53,85.94,79.69,37.23,87.87,77.99,100.0,49.23,50.19,96.67,88.51,28.99,1.69,100.0,,52.5,100.0,0.0,100.0,86.46,9.22,100.0,100.0,0.0,100.0,73.61,36.73,100.0,65.83,13.01,96.67,64.0,16.55,96.67,100.0,0.0,100.0,55.33,32.56,100.0,66.22,31.38,100.0,63.0,34.77
phi-4-t0.0--phi-4-t0.0,5.78,75.78,20.31,33.26,17.68,32.71,0.0,,,0.0,,,0.0,,,0.0,,,100.0,35.53,30.72,40.0,75.0,43.92,31.67,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,
qwen-max-t0.0--qwen-max-t0.0,55.58,90.62,68.75,38.96,84.45,65.82,70.0,36.26,48.34,98.33,46.89,43.38,0.0,,,100.0,77.5,42.29,100.0,97.03,7.13,100.0,87.78,32.94,100.0,58.89,43.45,100.0,78.99,14.42,100.0,76.12,10.46,96.67,100.0,0.0,83.33,16.8,29.96,83.33,56.27,39.88,60.0,54.35,41.28
